-,-,-
--936, 904
-36, 186, 904
5, 165, 865
97, 135, 808
134, 108, 729
114, 74, 591
114, 74, 591
110, 41, 438
90, -5, 313
56, -68, 255
56, -68, 255
61, -98, 263
67, -86, 398
57, -49, 652
57, -49, 874
-14, -13, 874
-54, -24, 1068
-16, -102, 1365
-49, -127, 1643
-151, -128, 1693
-215, -158, 1715
-208, -183, 1745
-218, -158, 1729
-208, -105, 1699
-173, -83, 1651
-128, -45, 1594
-63, -4, 1588
-50, 17, 1590
-50, 17, 1590
-55, -4, 1604
-64, -40, 1577
-78, -19, 1524
-162, -24, 1451
-225, -76, 1386
-253, -131, 1251
-270, -133, 1106
-261, -113, 926
-259, -92, 732
-259, -92, 732
-233, -65, 578
-255, -25, 450
-272, -36, 342
-292, -6, 266
-310, 27, 314
-288, 21, 351
-288, 21, 351
-,-,-
57, 196, 767
74, 202, 719
144, 148, 651
144, 148, 651
204, 86, 532
289, 38, 405
373, -8, 326
375, -91, 322
375, -91, 322
310, -144, 384
256, -144, 529
195, -99, 632
98, -41, 737
-22, 13, 941
-22, 13, 941
-162, 40, 1196
-289, 62, 1398
-394, 74, 1504
-469, 47, 1562
-448, -25, 1616
-371, -64, 1680
-282, -25, 1669
-282, -25, 1636
-249, 24, 1636
-206, 35, 1668
-146, 33, 1637
-75, 26, 1614
-6, 31, 1618
19, 36, 1670
19, 36, 1670
28, 0, 1666
79, 13, 1584
119, 46, 1479
71, 50, 1410
71, 50, 1410
-47, 31, 1278
-95, -29, 1112
-149, -88, 927
-194, -117, 770
-295, -155, 629
-,-,-
65, 40, 644
95, 24, 576
95, 24, 576
190, -14, 501
216, -35, 495
234, -48, 520
191, -39, 562
73, 10, 667
73, 10, 667
-47, 56, 727
-108, 57, 860
-94, 40, 989
-94, 40, 989
-151, 46, 1168
-268, 18, 1284
-343, -22, 1372
-322, -57, 1539
-300, -66, 1680
-303, -70, 1715
-324, -68, 1737
-298, -76, 1761
-298, -76, 1761
-255, -94, 1766
-244, -85, 1755
-217, -67, 1705
-159, -57, 1616
-88, -24, 1571
-20, 26, 1493
-1, 75, 1388
-6, 83, 1249
-6, 83, 1249
-66, 88, 1113
-110, 56, 927
-125, 24, 755
-181, -9, 645
-181, -9, 645
